user_pseudo_id,country,operating_system,language,cnt_user_engagement,cnt_level_start_quickplay,cnt_level_end_quickplay,cnt_level_complete_quickplay,cnt_level_reset_quickplay,cnt_post_score,cnt_spend_virtual_currency,cnt_ad_reward,cnt_challenge_a_friend,cnt_completed_5_levels,cnt_use_extra_steps,user_first_engagement,month,julianday,dayofweek,churned,data_split
037DAC225F0C1E54657770CD201CDDA7,United States,ANDROID,enXus,1,1,0,0,0,0,0,0,0,0,0,1.52885E+15,6,164,4,1,TRAIN
52332E7857233EC06090B1059F0C6292,United Kingdom,ANDROID,enXgb,1,2,0,0,0,0,0,0,0,0,0,1.5291E+15,6,166,6,1,TRAIN
3E14E34FCCAB1D2D4917BD264F03594D,United States,ANDROID,enXus,1,36,29,13,2,13,0,0,0,0,0,1.52882E+15,6,163,3,1,TRAIN
932AAF56DDE9C55359B9CCFA18E7FB95,Canada,ANDROID,enXca,1,8,8,6,0,6,0,0,0,0,0,1.52882E+15,6,163,3,1,EVAL
4AB0441290F6077849CBE9C74A828F0A,India,ANDROID,enXgb,1,12,0,0,4,0,0,0,0,0,0,1.52881E+15,6,163,3,1,TEST
74BB8E57BF8CF6AF45CF1D19D6F89943,United States,ANDROID,enXus,1,3,0,0,0,0,0,0,0,0,0,1.52922E+15,6,168,1,1,TRAIN
60E45BAEEDDE82230D5F3D658BC4957A,United States,IOS,enXus,0,4,2,2,1,2,0,0,0,0,0,1.52884E+15,6,163,3,0,TRAIN
27F7286D26548767C2278621C13BDC6F,United States,IOS,enXus,0,14,12,5,0,5,0,0,0,0,0,1.52881E+15,6,163,3,0,TEST
58581F94A2C75D39CF1B6622BABE9947,United States,IOS,enXus,0,15,14,7,0,7,0,0,0,0,0,1.52881E+15,6,163,3,0,EVAL
7ED6E1D0AB01378913666D674085E1D2,United States,IOS,enXus,0,60,55,40,3,40,0,0,0,0,0,1.52881E+15,6,163,3,0,TEST
129BA02669936B3E15346AF026F13550,United States,IOS,enXus,0,9,4,1,4,1,1,0,0,0,0,1.52918E+15,6,167,7,0,TRAIN
90F82D01DEBC0493003E18EB97749CE9,Italy,IOS,itXit,0,3,2,1,1,1,0,0,0,0,0,1.52916E+15,6,167,7,0,TRAIN
184FAE1A4D9A74D077E3D2DDD433C1C9,United States,IOS,enXus,0,9,8,2,0,2,0,0,0,0,0,1.52886E+15,6,164,4,0,TRAIN
8AA5A3D5E2768C0444CAF5EBA106B4B0,Canada,IOS,enXca,0,6,4,0,0,0,0,0,0,0,0,1.5289E+15,6,164,4,0,TRAIN
0B9739BFB4122E1863C894E34F812D56,Mexico,IOS,esXmx,0,20,18,7,0,7,0,0,0,0,0,1.52879E+15,6,163,3,0,TRAIN
0071E772FC4598EECC6DDB1BD8265D2C,United States,IOS,enXus,0,1,0,0,0,0,0,0,0,0,0,1.52919E+15,6,167,7,0,TRAIN
86A6C9FB1A0C566CA168149788E71EFD,Jordan,IOS,enXus,0,221,174,56,46,56,0,0,0,0,0,1.52879E+15,6,163,3,0,TRAIN
656D5E8FAC9D770179FDF7E9027AE2CE,United Kingdom,IOS,enXgb,0,20,20,12,13,12,0,0,0,0,0,1.5288E+15,6,163,3,0,TRAIN
2E604D0497DF31C12DDC2CB08F891825,United States,IOS,enXus,0,0,0,0,0,3,0,0,0,0,0,1.52919E+15,6,167,7,0,EVAL
5E6A0DBA346E1DC9AEB80140C2252F40,United States,IOS,enXus,0,4,3,3,0,3,0,0,0,0,0,1.52891E+15,6,164,4,0,TRAIN
