user_pseudo_id,cnt_user_engagement,cnt_level_start_quickplay,cnt_level_end_quickplay,cnt_level_complete_quickplay,cnt_level_reset_quickplay,cnt_post_score,cnt_spend_virtual_currency,cnt_ad_reward,cnt_challenge_a_friend,cnt_completed_5_levels,cnt_use_extra_steps
79694D26470B2F7638431FC246B6CAC5,46,9,6,1,3,1,2,0,0,0,2
FD2ED2B6806B4BC48AFC2261104AFCF4,2,1,0,0,0,0,0,0,0,0,0
1E850CF866159B7AC6B05AACC3E6FD4C,9,12,0,0,10,0,0,0,0,0,0
21A78D859A540DDEC25793D34B500C1E,16,8,1,0,6,0,1,0,0,0,1
45F69B905EBE7D436F86CB5C0802D4BD,13,0,0,0,0,1,0,0,0,0,0
14E45E9A38187A467F77569CBCBD1041,18,2,1,1,0,4,0,0,0,0,0
5B6161A5B8EAF9E04291EEAFEA188D12,14,21,0,0,22,0,0,0,0,0,0
7A2B91B04FEA667808B69518C042206F,2,0,0,0,0,0,0,0,0,0,0
BB6882241BB572C3AF3E198490C83981,53,0,0,0,0,10,2,0,0,1,2
9E01D1A09FDD23C5CD84D1F955B9EBA8,1,0,0,0,0,0,0,0,0,0,0
55BF8BB2457C1E8B554058947A484334,67,13,5,4,3,4,18,0,0,0,18
8669CA0A64242060E992A27B5E4E8830,3,1,1,1,0,1,0,0,0,0,0
E33EE4D9090447D3981439CDA8910A97,15,4,4,0,0,0,0,0,0,0,0
5B333FE2BC3875C6C3882279B51B8BAF,32,5,5,3,0,7,0,0,0,0,0
3B4F8D8584100C1D66809A06266DE7FC,17,4,4,1,0,1,1,0,0,0,1
A05E5EF28C83231054B9A7009A418438,40,8,0,0,7,16,0,0,0,0,0
61633448555C128551BE7E095F5C0E10,8,0,0,0,0,0,0,0,0,0,0
1E9576958AA73D69DB9E4AFBFE27D553,8,3,0,0,2,0,0,0,0,0,0
F9EF5F13B83A4CA8C74C7ABD868F23D5,10,0,0,0,0,0,0,0,0,0,0
6AB9B5119F12D33797063D0A3999EAB8,23,4,2,2,0,3,0,0,0,1,0
9D1DFD3B46E37390B640CCDEF5B6B022,12,3,3,1,0,1,0,0,0,0,0
2EF9738DE9EA54872F402F28E7CBA574,4,1,1,0,0,0,0,0,0,0,0
F1715AB43436224B347F1A1900A1FD85,29,22,9,9,12,9,0,0,0,0,0
8715F32A9C6E70EAB6895C0581400E6B,26,12,5,4,3,4,0,0,0,0,0
D1E384039A327FC0AF368C5C178FC790,3,1,0,0,0,0,0,0,0,0,0
02BDEEED9EC58C4DF3E3808CFF51C484,23,5,3,0,1,0,5,0,0,0,5
6E898D36923082FFEBA451B6150DC3A9,26,5,2,1,1,1,5,1,0,0,5
2907E99C58F849551CF8A313BE709163,11,6,3,3,2,3,0,0,0,0,0
BC486E5E7ED937EC70AFFC128300A615,8,2,1,0,0,0,0,0,0,0,0
6795CE3FC3D5319BEFFE39428A456919,9,3,2,2,0,2,0,0,0,0,0
50F6EB87E17D345A431C332D124E07D4,1,1,0,0,0,0,0,0,0,0,0
646FE5210FBB09E9C5B6BA51C497E5BC,10,4,3,0,0,0,0,0,0,0,0
ADB8CEDCF81839904A6224D20592E04A,6,2,2,2,0,2,0,0,0,0,0
7CDC52F058F406CC41FCDC16E464342A,221,83,80,71,1,71,0,0,2,0,0
3F24D212C1FD176677B44A8B05A1885A,22,8,4,1,1,1,0,0,0,0,0
9F4BBA40E6ADF598207B7FF0F26108F5,1,0,0,0,0,0,0,0,0,0,0
024533CD46BF3246F6428E30AB0A0865,2,1,0,0,0,0,0,0,0,0,0
13F080023BC02C4DC81CF648D346DA49,3,0,0,0,0,0,0,0,0,0,0
E325A12D5EBC55ACEC787D88E545A9F0,48,11,10,0,0,0,0,0,0,0,0
84BEB65E6F5A476DF03211ECCC2EA76B,2,1,1,1,0,1,0,0,0,0,0
BA8CE9E65A26261B5E42CA260FA5353C,22,9,5,1,4,1,0,0,0,0,0
2D644942A18A482A9AD370DA9F38B709,3,1,1,1,0,1,0,0,0,0,0
5BFDC0426DE9C09CA5FF18E4982F2506,15,0,0,0,0,1,0,0,0,0,0
4FCB0434161F0EE1E92046C850A90DD1,3,0,0,0,0,0,0,0,0,0,0
1010A9A4D76FDDAB3C456113CC4E6C95,13,0,0,0,0,4,0,0,0,0,0
A20E7E669E319B0A1912A187C4169AEE,18,0,0,0,0,5,1,0,0,0,1
B74A17D588E52BEA532D551DB626EC4B,1,0,0,0,0,0,0,0,0,0,0
2B9E05C9A73CE9EFCADC80CE582ADBA6,3,0,0,0,0,0,0,0,0,0,0
A6E7F3C2692459390F24A912B447B433,5,1,0,0,0,0,0,0,0,0,0
8CD1C44A6F041A965C4645CC9DAB8797,16,0,0,0,0,2,0,0,0,0,0
456603AFBA6433E9AD8685186F7F8425,12,4,3,2,0,2,0,0,0,0,0
B185F3727B2C6A2FABC06C0C8BEC68EF,5,0,0,0,0,0,0,0,0,0,0
63E2ABD33ED803069B357CAA582797CF,24,5,2,1,2,1,0,0,0,0,0
BCE3E220D4DC504C6AFDE68BF7CF99E6,28,12,3,2,0,2,0,0,0,0,0
700F7F7537AA9608C920BFFD14C8711D,10,2,1,0,0,0,1,1,0,0,1
E7824127D778ABBCBCDA335F2EB7D64D,5,1,1,0,0,0,0,0,0,0,0
2EF814FCC7768BCB56538F6375C5FEF9,29,8,6,5,1,8,0,0,0,0,0
5652FE8F7347A1AEDC7543F7AD642C30,9,0,0,0,0,3,0,0,0,0,0
E10A839237C8E024635BB36936FF4D81,74,24,22,6,0,6,0,0,0,0,0
422C08B906E37449BA477CF1AAFE7BE5,27,4,3,0,0,1,0,0,0,0,0
2E232DB69EBB2EF7E68E2B0C10DBE859,15,5,3,0,0,0,0,0,0,0,0
119C56EBCA819C96F9370FF0C43867DA,4,1,1,0,0,0,0,0,0,0,0
1AE32C0B80648F4516DE4830AD288E02,51,3,3,0,0,5,7,2,0,1,7
65590DA8747B4EA65442441EE1F871E5,22,0,0,0,0,6,0,0,0,1,0
41BC7D60F92AA119E0C1643D54EC238D,3,0,0,0,0,0,0,0,0,0,0
34949061E363020D1DC599AF293F4376,6,1,1,0,0,0,0,0,0,0,0
238F40560836C5F5E317C859E3EDBC95,6,2,0,0,1,0,0,0,0,0,0
EA35FE295A7C1F8F67836AEB608CEBBD,171,60,59,31,0,31,0,0,0,0,0
830461B02C9A488AFF82BA7AA8C58052,19,3,0,0,2,2,0,0,0,0,0
DAD2E26F6C0E4C6631490AC31BF2DBC8,26,0,0,0,0,4,0,0,0,0,0
233802C609947F33DB7CFEFBBC7AEA2E,1,1,0,0,0,0,0,0,0,0,0
EEA7994C33475920620AC49055AA96D8,20,0,0,0,0,5,1,0,0,1,1
59C79351BA65506A00F8F940CC9EB337,37,0,0,0,0,8,3,0,0,1,3
DB8E1187DDC1B1EA10231A3F0739CCC6,17,20,0,0,19,1,0,0,0,0,0
AE8C5B88EC732EC72933B18ECD6C57E5,1,1,0,0,0,0,0,0,0,0,0
A64CA7941E040C69E34F7AA338DA8239,4,2,0,0,1,0,0,0,0,0,0
BAA42D2D94CD8312B6A7F08A576F6A8C,4,0,0,0,0,0,0,0,0,0,0
5261C4CF856996E55235DA15FAF98CED,2,1,0,0,0,0,0,0,0,0,0
2F0F260BD7B876C346B41977D0D03D62,78,23,20,8,0,8,1,0,0,0,1
046CC8D512A010F60CB1EB26AAE41757,21,0,0,0,0,6,0,0,0,1,0
5BDEA4C55EFDF16308475E1ACA152767,16,3,2,0,0,0,1,0,0,0,1
D1FDE2A7EAF350A6C080F1EF4D93AAED,10,0,0,0,0,0,0,0,0,0,0
